label,N,P,K,temperature,humidity,rainfall,ph
Maize,120.0,30.0,20.0,21.0,75.0,500.0,7.5
Rice,107.717,34.788,63.529,27.272,77.798,1835.262,5.711
Cotton,93.972,47.607,29.822,22.259,57.759,803.709,6.632
Rice,116.301,25.409,69.813,25.25,83.528,1889.793,6.148
Rice,95.234,34.373,57.899,21.776,79.33,1531.29,5.922
Cotton,100.944,45.062,28.483,25.276,56.742,884.325,6.778
Wheat,80.69,28.136,26.183,14.445,50.829,517.631,6.995
Potato,120.0,60.0,80.0,25.0,75.0,750.0,5.0
Potato,99.747,69.301,95.928,19.918,66.853,642.495,6.247
Sugarcane,94.799,45.445,86.388,23.224,78.953,1718.351,6.422
Potato,104.343,66.081,106.102,20.457,62.982,630.891,5.715
Potato,98.58,73.711,94.509,20.993,65.315,708.051,5.848
Rice,80.0,40.0,40.0,30.0,90.0,2250.0,5.0
Rice,112.319,29.419,71.119,23.16,83.968,1914.925,5.71
Maize,112.007,47.241,37.489,26.493,63.575,702.405,5.908
Soybean,27.183,49.2,63.958,27.53,60.687,572.394,6.342
Sugarcane,80.0,60.0,60.0,27.0,70.0,1200.0,6.0
Maize,103.131,40.81,47.775,24.362,65.855,807.246,7.074
Cotton,80.0,60.0,40.0,27.0,65.0,1200.0,6.0
Potato,93.376,70.623,107.405,20.683,59.714,629.359,5.272
Wheat,69.823,27.817,27.198,18.547,60.426,605.202,6.546
Potato,96.995,77.241,97.073,19.492,62.786,626.71,5.725
Wheat,73.239,34.534,29.525,22.597,54.682,510.851,6.91
Maize,102.32,43.836,52.77,23.093,65.014,751.24,6.634
Cotton,109.919,56.083,33.365,25.319,59.055,955.692,6.832
Wheat,72.392,29.219,28.939,15.123,57.166,543.639,7.014
Potato,120.0,80.0,80.0,25.0,55.0,500.0,5.0
Wheat,100.0,40.0,40.0,12.0,45.0,375.0,7.5
Wheat,62.254,20.0,34.241,21.166,61.291,511.697,6.427
Cotton,80.0,40.0,20.0,21.0,65.0,1200.0,6.0
Sugarcane,103.165,46.767,72.997,24.749,76.327,1953.17,6.882
Wheat,60.0,20.0,40.0,25.0,45.0,375.0,7.5
Potato,98.686,63.546,101.977,19.996,63.811,586.134,5.751
Wheat,88.432,25.177,31.889,21.147,55.261,537.72,7.19
Sugarcane,103.582,40.514,77.807,24.107,77.073,1638.979,7.134
Potato,101.431,70.895,104.448,23.335,62.41,600.898,6.152
Tomato,94.312,71.193,80.975,22.879,69.771,621.25,6.439
Tomato,88.999,70.445,77.242,20.492,71.753,542.021,6.327
Rice,95.143,32.572,65.394,24.757,81.52,1892.491,5.728
Maize,80.0,60.0,60.0,27.0,75.0,500.0,5.5
Soybean,29.671,51.568,64.934,23.532,64.101,748.268,6.49
Potato,100.473,70.767,98.537,20.66,66.029,581.078,6.048
Cotton,100.353,43.079,30.093,24.622,54.549,881.916,6.509
Wheat,79.283,32.064,30.246,18.088,56.127,492.28,6.813
Cotton,101.164,48.913,31.541,23.924,49.473,793.857,7.014
Tomato,111.838,67.164,78.712,23.648,67.142,636.262,6.463
Tomato,96.389,63.546,80.889,21.412,68.072,644.964,6.736
Wheat,74.196,30.518,31.663,22.06,56.179,542.016,6.93
Potato,88.53,72.953,107.254,20.308,63.479,624.622,5.644
Wheat,81.349,27.296,29.417,14.213,58.088,477.177,6.741
Soybean,40.0,60.0,40.0,30.0,75.0,450.0,6.0
Cotton,90.281,49.226,40.0,24.017,52.527,799.15,7.193
Potato,94.811,68.137,98.889,21.858,61.778,720.397,5.514
Sugarcane,95.623,54.517,82.688,23.95,74.498,1725.817,7.223
Wheat,100.0,20.0,20.0,25.0,45.0,650.0,6.0
Potato,88.744,63.27,98.827,19.821,61.38,588.704,6.131
Wheat,78.158,32.519,30.26,15.823,57.242,519.198,7.398
Sugarcane,102.651,45.51,83.316,22.666,80.844,1904.655,6.83
Soybean,31.779,45.724,74.843,22.596,65.23,515.836,6.493
Rice,80.0,40.0,40.0,30.0,90.0,2250.0,5.0
Wheat,81.136,33.116,31.31,19.499,56.068,503.873,6.571
Rice,105.086,31.494,48.763,25.897,79.914,1904.41,5.525
Cotton,102.47,46.446,31.528,24.67,53.175,755.791,6.775
Tomato,113.391,74.96,85.368,23.059,70.699,593.604,6.259
Tomato,80.0,80.0,60.0,28.0,60.0,500.0,6.0
Cotton,99.579,49.61,35.305,23.98,55.252,948.423,6.726
Soybean,40.0,60.0,80.0,20.0,75.0,900.0,6.0
Soybean,27.767,49.423,58.832,27.17,64.735,814.141,6.428
Tomato,103.776,71.049,70.687,23.865,65.288,651.17,6.415
Cotton,91.565,50.335,28.668,23.739,56.018,770.713,6.473
Potato,82.788,72.294,100.209,20.719,64.237,577.339,5.643
Potato,110.686,64.762,92.258,20.408,66.738,517.203,5.316
Wheat,77.641,27.891,36.241,18.397,60.895,448.407,6.88
Sugarcane,94.809,40.919,80.241,24.037,76.645,2072.589,6.684
Maize,91.037,46.557,42.918,25.044,66.209,675.165,5.687
Soybean,20.0,60.0,40.0,20.0,75.0,900.0,7.0
Sugarcane,80.0,60.0,60.0,27.0,88.0,1200.0,7.5
Rice,80.0,20.0,80.0,30.0,75.0,1500.0,7.0
Cotton,105.979,47.742,28.122,23.879,59.812,1069.383,6.948
Soybean,30.312,51.253,50.649,26.572,63.063,596.801,6.774
Cotton,102.52,49.871,36.141,24.788,53.015,972.906,6.827
Soybean,32.221,43.636,65.527,22.572,61.719,699.917,6.396
Potato,99.317,71.792,99.909,19.654,62.733,575.25,6.101
Soybean,25.23,48.384,54.027,22.887,65.318,675.111,6.198
Tomato,101.337,69.524,70.365,23.999,70.141,607.766,6.713
Wheat,60.0,20.0,40.0,25.0,45.0,375.0,7.5
Rice,92.62,27.018,64.289,24.342,82.487,1854.57,6.113
Potato,99.807,67.205,100.055,22.301,63.665,549.357,5.66
Maize,102.85,58.132,49.001,24.718,64.715,588.437,6.059
Wheat,100.0,20.0,40.0,12.0,45.0,375.0,6.0
Wheat,75.502,28.036,29.746,19.2,56.612,512.236,6.418
Wheat,60.0,20.0,20.0,12.0,45.0,375.0,6.0
Rice,100.489,30.125,59.394,24.949,81.964,1694.753,5.828
Tomato,93.881,69.976,77.056,25.585,68.919,622.784,6.913
Maize,97.684,37.856,37.183,24.119,63.668,727.385,6.493
Maize,95.673,41.455,31.446,22.5,64.35,700.59,6.869
Rice,89.983,20.118,56.377,29.034,83.587,1805.053,6.155
Potato,103.361,63.58,100.207,19.142,65.067,580.71,5.939
Sugarcane,105.367,43.498,76.343,24.716,75.611,1805.092,6.843
Soybean,22.044,55.078,61.654,26.945,68.096,719.764,6.446
Rice,109.119,27.159,74.862,26.659,84.928,1878.503,5.928
Tomato,85.147,68.773,77.219,24.921,74.328,664.759,6.275
Rice,101.849,31.617,52.816,22.855,86.457,1759.565,5.652
Tomato,99.279,67.516,82.546,20.763,70.049,648.851,6.651
Sugarcane,108.289,49.374,85.372,25.36,77.718,1672.077,7.177
Soybean,31.878,52.974,69.607,23.782,65.754,693.585,6.514
Cotton,100.703,53.643,30.985,23.569,55.223,908.137,6.727
Cotton,109.985,47.144,31.678,25.037,56.501,762.551,6.514
Rice,95.635,31.487,56.967,22.957,79.305,1896.573,6.526
Tomato,108.794,74.626,84.487,22.245,66.542,672.781,6.511
Maize,96.113,48.102,42.948,23.939,63.529,762.628,6.683
Tomato,120.0,60.0,60.0,18.0,80.0,500.0,7.0
Wheat,78.363,34.279,23.7,15.649,48.509,462.656,6.547
Rice,104.317,29.955,64.678,23.275,82.47,1848.664,5.595
Cotton,80.0,60.0,20.0,21.0,65.0,1200.0,6.0
Soybean,28.506,45.369,50.305,23.657,62.864,696.242,6.674
Cotton,106.027,46.113,29.34,23.756,56.393,899.13,6.614
Rice,104.144,29.876,61.317,23.025,77.034,1893.76,6.108
Soybean,32.806,53.415,50.802,24.595,66.558,740.339,6.792
Potato,97.278,68.023,93.878,20.669,70.655,663.886,5.669
Cotton,89.059,43.9,29.594,23.789,55.908,835.049,7.221
Wheat,60.0,40.0,40.0,25.0,45.0,650.0,6.0
Wheat,72.346,28.472,29.746,19.769,49.134,439.029,6.872
Maize,120.0,60.0,60.0,21.0,75.0,1000.0,7.5
Maize,94.792,47.612,38.452,23.821,66.99,738.163,6.407
Tomato,95.161,66.452,67.519,20.756,69.145,622.107,6.368
Cotton,103.467,49.659,29.363,22.819,54.964,1000.366,6.755
Maize,94.934,49.916,35.807,23.171,69.365,861.688,6.672
Rice,89.229,31.607,56.515,20.725,84.462,1909.046,5.762
Rice,120.0,20.0,80.0,30.0,75.0,2250.0,7.0
Sugarcane,97.543,41.709,77.22,22.748,77.605,1684.206,6.933
Soybean,20.0,60.0,80.0,20.0,75.0,450.0,6.0
Potato,106.032,70.457,97.53,17.56,67.891,674.422,5.58
Tomato,120.0,80.0,100.0,18.0,60.0,750.0,7.0
Potato,111.255,74.404,98.784,20.636,66.355,630.696,5.426
Potato,103.824,72.792,99.483,19.055,70.281,580.32,5.515
Potato,102.311,69.864,99.313,19.667,67.17,630.82,5.568
Maize,104.429,42.074,43.924,23.912,61.769,670.264,6.982
Rice,104.297,27.068,64.492,26.434,86.397,1765.486,5.925
Sugarcane,103.164,38.756,77.147,24.04,76.808,1739.447,6.767
Cotton,80.0,60.0,20.0,21.0,65.0,1200.0,6.0
Potato,103.379,68.466,109.38,21.014,69.81,632.398,5.738
Tomato,106.174,77.142,81.398,25.056,73.454,599.765,6.504
Wheat,79.897,28.769,32.32,18.188,52.339,539.992,6.734
Potato,98.704,69.008,104.541,18.916,70.75,593.922,5.804
Soybean,31.819,48.183,70.426,22.563,70.532,698.916,6.154
Potato,100.911,70.653,96.735,23.025,66.968,675.483,5.98
Potato,110.919,67.125,110.531,19.703,66.049,595.032,6.0
Maize,107.077,48.035,40.491,23.254,61.43,707.427,6.637
Potato,120.0,60.0,80.0,25.0,55.0,750.0,5.0
Tomato,104.298,72.164,73.003,24.127,71.514,687.912,6.595
Cotton,93.772,45.62,33.609,23.64,47.659,837.672,6.979
Rice,96.113,26.609,65.775,26.221,78.202,1824.551,5.712
Wheat,80.333,26.418,30.825,18.596,53.199,509.978,6.784
Wheat,87.979,30.341,24.236,18.389,55.937,557.086,6.666
Maize,103.79,41.287,32.102,25.034,59.32,827.238,6.416
Wheat,89.97,30.089,33.537,17.008,57.086,500.895,7.145
Soybean,27.698,52.864,61.554,24.885,61.534,646.956,6.623
Tomato,105.732,65.798,82.614,23.191,71.257,644.649,6.344
Tomato,100.332,69.027,70.204,22.938,68.939,576.131,6.438
Tomato,109.008,74.815,85.019,21.366,62.712,669.951,6.519
Sugarcane,89.963,52.811,70.65,23.654,75.043,1597.221,6.753
Tomato,97.108,73.635,78.922,24.161,70.677,566.58,6.485
Maize,100.61,35.639,32.339,24.01,63.639,782.901,6.095
Potato,107.688,67.904,93.421,21.268,69.589,673.451,5.753
Potato,120.0,60.0,80.0,25.0,55.0,500.0,5.0
Potato,89.622,67.659,106.027,19.293,63.847,609.771,6.061
Cotton,92.832,49.792,40.0,24.304,52.121,940.779,6.621
Potato,81.534,67.146,99.533,18.308,55.0,594.766,5.749
Rice,96.949,30.36,68.73,22.33,79.371,1674.84,5.735
Potato,103.056,69.624,102.679,21.211,66.144,637.122,6.098
Wheat,74.198,35.859,26.568,16.928,56.9,427.432,7.069
Maize,88.806,44.459,37.109,21.915,66.297,718.33,5.8
Tomato,80.0,60.0,60.0,18.0,60.0,750.0,7.0
Wheat,75.487,34.067,28.406,18.394,61.379,499.789,7.06
Soybean,27.689,49.621,66.967,24.87,66.982,733.53,6.406
Wheat,70.084,30.797,31.744,20.457,56.657,536.864,6.504
Tomato,80.0,80.0,100.0,18.0,60.0,500.0,7.0
Soybean,34.416,55.41,69.084,24.606,60.645,671.953,6.502
Maize,102.02,47.952,39.566,25.17,68.082,787.178,6.809
Tomato,99.37,69.198,83.453,22.316,70.121,656.279,6.513
Maize,102.66,49.125,35.246,25.052,59.948,646.031,6.737
Wheat,79.082,23.575,25.148,16.014,52.057,531.494,6.805
Maize,100.294,44.73,43.716,23.884,65.632,661.844,6.932
Rice,120.0,20.0,40.0,20.0,90.0,1500.0,5.0
Wheat,60.0,20.0,40.0,12.0,65.0,375.0,7.5
Cotton,100.647,48.63,29.715,23.216,55.036,905.809,6.525
Tomato,103.086,66.035,76.498,26.223,65.278,577.173,6.657
Cotton,91.995,49.738,29.97,23.614,63.986,858.727,6.862
Soybean,40.0,40.0,40.0,30.0,55.0,450.0,6.0
Soybean,28.154,51.349,60.463,23.175,64.907,589.237,6.607
Cotton,96.271,49.429,35.808,22.831,57.237,1005.693,6.57
Maize,94.772,44.375,35.933,26.3,64.701,878.769,6.435
Maize,100.079,54.906,43.862,22.274,55.0,811.088,6.468
Soybean,27.914,51.673,50.945,24.408,65.976,616.33,6.557
Potato,92.135,69.721,102.272,20.272,59.298,630.466,5.909
Wheat,73.471,33.42,24.963,20.806,54.449,508.108,6.323
Maize,99.206,40.551,36.718,24.201,63.755,790.442,6.674
Rice,98.647,26.392,58.993,23.757,79.374,1938.903,6.13
Cotton,95.762,46.301,33.427,22.886,51.606,823.405,6.779
Soybean,20.0,40.0,40.0,30.0,75.0,900.0,6.0
Tomato,95.652,70.751,81.445,24.102,70.836,594.201,6.647
Wheat,95.151,30.685,27.415,19.389,53.433,448.603,6.925
Rice,96.963,31.388,52.73,26.052,84.771,1890.858,5.0
Tomato,100.786,60.0,77.385,23.564,71.551,665.098,6.465
Cotton,94.366,50.296,29.607,27.0,50.514,887.49,6.394
Soybean,34.458,55.292,65.896,23.464,59.469,787.147,6.25
Wheat,75.811,29.072,31.471,17.744,55.754,585.5,6.707
Wheat,70.201,30.746,35.378,18.94,50.391,522.818,6.737
Potato,80.0,60.0,120.0,25.0,55.0,750.0,5.0
Potato,95.711,67.514,98.085,20.541,60.298,647.975,5.398
Sugarcane,113.536,49.103,87.484,23.623,79.314,1799.634,6.585
Sugarcane,95.761,43.373,82.367,24.073,76.897,1746.989,6.737
Maize,87.241,50.191,36.375,25.411,64.707,767.059,6.893
Wheat,77.395,29.643,29.658,18.568,56.576,628.687,6.797
Tomato,97.528,72.184,89.882,22.667,68.651,627.984,6.395
Tomato,91.371,70.408,86.18,21.655,67.976,643.943,6.58
Maize,80.0,30.0,60.0,21.0,75.0,1000.0,7.5
Sugarcane,91.909,46.961,78.816,23.85,80.426,1845.932,6.759
Maize,80.0,60.0,60.0,21.0,55.0,1000.0,5.5
Wheat,84.11,29.995,30.367,16.236,55.355,535.939,6.832
Rice,106.543,26.117,73.392,23.401,84.373,1664.082,5.69
Wheat,90.813,29.973,28.488,21.67,57.668,526.964,6.67
Cotton,100.976,51.415,36.454,23.175,45.417,794.655,6.872
Potato,80.0,60.0,120.0,25.0,55.0,750.0,5.0
Rice,99.484,29.344,52.569,24.618,78.518,1760.89,6.076
Soybean,20.0,60.0,80.0,20.0,75.0,450.0,6.0
Maize,97.555,53.356,43.29,23.96,57.683,581.463,6.543
Tomato,105.116,74.653,84.854,20.787,76.699,669.402,6.415
Tomato,106.266,72.223,68.089,24.861,68.474,654.822,6.338
Rice,104.25,27.67,53.242,25.055,79.459,1791.107,6.104
Maize,93.106,43.475,35.398,24.602,62.737,834.305,6.418
Wheat,60.0,40.0,40.0,12.0,65.0,375.0,7.5
Sugarcane,95.945,47.262,81.305,24.903,81.551,1719.148,6.326
Maize,120.0,39.57,31.617,24.51,70.098,755.382,6.691
Rice,101.19,25.836,62.735,24.224,88.437,1657.786,6.068
Potato,97.833,69.696,117.064,18.735,65.755,657.557,5.509
Potato,104.768,73.619,97.607,18.209,63.503,624.505,5.593
Wheat,60.0,40.0,40.0,12.0,45.0,650.0,7.5
Maize,96.155,42.753,49.864,23.891,62.381,706.975,6.867
Soybean,36.519,55.19,48.43,24.474,66.669,637.934,6.797
Rice,98.078,31.35,74.896,24.549,83.549,2032.222,6.38
Soybean,32.256,54.871,64.84,25.167,66.434,619.872,6.435
Soybean,40.0,60.0,80.0,30.0,55.0,450.0,7.0
Wheat,100.0,20.0,40.0,25.0,65.0,650.0,6.0
Cotton,101.346,47.362,32.552,23.795,52.586,971.673,6.989
Sugarcane,90.545,56.838,71.641,23.757,75.888,1543.7,6.637
Potato,111.745,70.883,85.604,20.476,64.351,579.124,5.838
Soybean,29.575,45.626,50.272,23.688,63.5,644.581,6.462
Tomato,94.573,68.473,84.246,21.298,69.406,608.921,6.483
Sugarcane,115.734,41.924,94.161,24.768,83.021,1668.993,6.961
Cotton,93.295,49.782,30.399,24.248,58.126,983.208,6.799
Tomato,111.156,63.98,81.989,21.352,66.023,620.272,6.705
Potato,85.082,76.984,99.06,15.342,62.608,588.514,5.586
Tomato,80.0,80.0,60.0,28.0,80.0,500.0,7.0
Wheat,81.248,25.616,25.283,20.932,58.987,527.3,7.124
Soybean,28.522,48.746,50.313,27.704,63.263,793.128,6.428
Soybean,33.387,51.318,54.088,26.037,68.168,758.522,6.791
Tomato,87.654,71.736,86.428,20.013,71.23,670.133,6.599
Wheat,70.266,26.444,34.524,16.912,56.554,474.17,6.94
Potato,99.805,75.815,100.297,17.161,67.128,641.337,5.758
Potato,100.493,67.385,99.002,18.417,67.697,648.814,5.745
Cotton,80.0,40.0,20.0,27.0,45.0,600.0,7.5
Sugarcane,99.267,49.457,80.435,22.852,81.461,1439.024,6.821
Cotton,111.459,48.231,34.69,24.593,54.892,954.244,6.815
Soybean,30.229,45.364,45.661,24.377,66.868,647.822,6.706
Cotton,91.728,45.374,30.608,23.242,50.158,996.534,6.592
Tomato,91.072,68.849,73.665,26.647,68.322,604.132,6.438
Maize,94.824,58.359,38.243,22.543,62.673,745.703,6.682
Sugarcane,106.82,46.024,81.091,23.862,84.051,1600.178,6.669
Cotton,120.0,40.0,20.0,27.0,45.0,600.0,6.0
Cotton,115.161,49.223,31.159,22.585,58.323,904.147,6.735
Sugarcane,96.618,42.035,78.78,23.448,83.575,1780.383,6.754
Potato,96.363,73.683,105.339,20.875,65.439,685.371,5.485
Wheat,76.597,26.031,32.945,16.817,58.645,494.138,6.489
Soybean,31.118,44.853,64.824,25.282,66.271,749.933,6.572
Potato,109.799,72.301,87.34,16.761,62.233,634.589,5.742
Cotton,113.918,47.507,24.602,22.949,52.654,802.567,6.773
Tomato,103.223,68.714,75.521,23.831,66.188,657.104,6.42
Potato,101.847,72.08,88.789,21.786,62.245,606.52,5.835
Sugarcane,104.927,41.942,75.648,24.773,80.162,1286.897,6.711
Wheat,77.02,25.927,26.374,19.374,51.292,546.43,6.584
Soybean,32.44,51.193,54.531,27.243,67.442,669.435,6.422
Maize,100.759,50.395,32.016,24.639,66.105,812.512,6.791
Sugarcane,120.0,60.0,60.0,21.0,70.0,2250.0,6.0
Potato,98.064,66.512,98.64,18.859,70.748,656.668,5.559
Cotton,91.364,49.63,31.72,23.785,51.666,1003.019,6.933
Cotton,120.0,60.0,20.0,27.0,65.0,1200.0,6.0
Cotton,98.978,51.477,32.006,25.092,51.226,922.162,6.659
Maize,113.543,44.838,46.854,23.947,64.898,701.331,6.54
Maize,80.0,60.0,60.0,21.0,55.0,500.0,7.5
Wheat,60.0,20.0,20.0,12.0,65.0,650.0,6.0
Sugarcane,80.0,60.0,60.0,21.0,70.0,2250.0,7.5
Soybean,24.53,55.459,47.262,24.026,68.24,675.026,6.281
Cotton,100.718,48.013,29.345,26.618,55.607,945.025,6.574
Maize,98.834,50.228,34.231,22.378,67.048,802.603,6.66
Tomato,96.711,66.899,84.096,24.575,73.051,633.952,6.522
Sugarcane,106.166,40.904,80.163,23.897,75.993,1500.928,6.605
Tomato,103.183,68.989,86.222,21.545,65.598,500.0,6.488
Potato,91.721,71.458,97.175,18.563,62.444,647.379,5.474
Rice,120.0,40.0,40.0,30.0,90.0,1500.0,7.0
Tomato,98.238,73.586,77.021,22.921,74.851,644.079,6.373
Rice,102.458,26.804,65.856,24.917,82.038,1789.884,6.408
Tomato,113.957,65.256,88.591,23.25,68.321,607.943,6.494
Wheat,87.487,36.883,30.267,13.896,57.03,471.063,6.584
Sugarcane,95.805,40.053,80.787,23.212,77.561,1645.864,6.738
Maize,109.478,42.994,34.995,25.643,69.217,752.037,6.402
Sugarcane,97.595,45.885,77.515,23.514,79.981,1990.094,6.786
Rice,80.0,20.0,40.0,30.0,75.0,2250.0,7.0
Maize,97.531,46.71,35.684,25.644,62.078,721.881,6.536
Cotton,106.651,51.675,32.847,24.374,55.575,849.631,6.953
Maize,97.804,45.213,51.875,23.507,63.41,879.06,6.375
Rice,110.476,35.233,53.347,24.413,83.701,2191.488,6.493
Soybean,34.524,53.84,67.009,22.994,65.057,766.708,6.545
Rice,107.123,30.327,75.586,24.37,83.31,1775.149,5.883
Tomato,83.859,68.994,80.607,22.317,75.854,576.564,6.406
Soybean,33.557,52.069,54.764,23.107,65.648,622.445,6.404
Tomato,94.739,73.005,75.857,21.55,68.192,669.785,6.478
Tomato,90.564,68.286,94.467,25.796,72.355,639.856,6.19
Tomato,92.919,69.973,84.488,22.683,73.841,606.998,6.845
Wheat,75.826,29.204,27.058,19.228,52.546,503.993,6.962
Maize,102.06,55.162,33.176,24.203,62.334,704.416,6.483
Rice,83.738,31.681,55.34,25.071,82.283,1840.787,6.263
Soybean,20.0,60.0,80.0,20.0,75.0,900.0,7.0
Rice,101.563,23.792,53.317,22.099,82.543,1859.774,5.844
Maize,120.0,30.0,60.0,27.0,75.0,500.0,5.5
Cotton,91.221,53.826,28.497,24.018,52.966,1027.675,6.963
Sugarcane,94.992,46.35,82.608,23.004,74.025,1779.417,6.883
Tomato,101.336,70.689,70.358,23.821,68.897,618.058,6.675
Maize,88.177,47.27,48.219,23.778,68.319,692.49,6.005
Tomato,94.707,69.379,68.764,23.675,64.345,631.179,6.296
Cotton,120.0,60.0,20.0,27.0,45.0,600.0,6.0
Maize,103.511,47.836,27.116,22.639,71.578,662.733,6.704
Potato,90.074,75.481,91.86,19.068,65.906,642.382,5.389
Potato,96.166,68.045,99.115,19.406,64.339,659.916,5.276
Potato,102.039,71.429,97.912,18.113,69.17,668.275,5.253
Wheat,90.341,34.185,27.156,17.427,61.046,523.552,6.683
Sugarcane,102.072,40.517,92.931,24.792,73.622,1414.854,6.504
Maize,97.192,45.593,46.582,23.433,62.897,838.099,6.626
Sugarcane,104.592,45.327,92.459,25.958,78.892,1721.925,6.604
Soybean,25.982,50.039,68.463,25.772,65.592,635.343,6.511
Maize,120.0,30.0,60.0,21.0,75.0,1000.0,5.5
Tomato,93.561,69.663,80.681,22.49,75.581,595.025,6.732
Cotton,92.134,48.844,31.901,24.189,55.364,921.17,6.94
Rice,98.841,27.568,62.52,25.754,83.302,1904.825,6.526
Rice,95.85,26.428,57.643,23.16,83.307,1731.239,6.237
Wheat,91.111,30.138,36.126,17.872,58.663,469.317,6.855
Sugarcane,106.296,40.494,88.161,24.327,78.531,1787.664,6.744
Rice,100.973,29.943,61.887,26.808,78.087,1996.727,6.003
Wheat,81.254,30.668,30.404,14.127,54.732,481.872,6.453
Potato,104.674,71.364,107.64,20.652,62.416,649.763,5.792
Rice,97.884,29.451,48.319,25.157,85.622,1739.179,6.112
Tomato,97.654,66.255,80.505,21.473,74.23,625.022,6.475
Rice,97.415,27.056,65.259,23.166,81.904,1860.653,6.531
Wheat,79.719,32.065,31.324,16.839,52.302,557.796,7.048
Soybean,32.679,44.991,54.203,25.21,67.211,800.926,6.46
Tomato,98.933,68.171,91.723,22.037,69.406,655.002,6.294
Cotton,100.179,45.8,24.548,24.263,59.61,907.935,6.953
Maize,100.275,44.692,44.694,22.975,68.39,788.861,6.061
Rice,90.999,35.347,59.778,23.063,80.807,1774.798,5.575
Wheat,100.0,40.0,20.0,12.0,65.0,375.0,6.0
Soybean,29.927,44.601,53.792,26.052,66.179,529.025,6.605
Cotton,101.714,51.733,25.285,23.496,55.811,810.032,6.858
Tomato,102.025,71.805,81.36,24.405,64.576,619.53,6.269
Potato,94.306,72.869,100.517,20.252,68.408,591.914,5.62
Rice,102.436,32.043,59.06,27.553,85.019,1842.918,6.25
Maize,95.478,47.563,41.718,23.483,67.527,782.442,6.572
Cotton,91.78,50.211,27.306,23.611,58.841,953.162,7.033
Maize,94.55,47.108,39.373,23.337,62.793,649.133,6.826
Wheat,76.974,25.97,35.784,21.851,57.946,494.725,6.675
Sugarcane,103.23,40.967,76.428,24.347,78.23,1601.686,6.253
Sugarcane,84.294,43.197,92.32,23.344,81.372,1934.768,6.747
Soybean,20.0,60.0,80.0,30.0,55.0,900.0,6.0
Tomato,114.335,69.267,83.98,22.442,68.817,606.023,6.242
Wheat,78.007,27.861,27.329,15.943,54.319,593.327,7.273
Rice,90.822,32.117,58.519,22.549,79.961,1914.189,6.279
Tomato,80.0,60.0,100.0,28.0,80.0,500.0,6.0
Soybean,40.0,60.0,80.0,20.0,75.0,450.0,7.0
Potato,102.735,66.905,101.847,19.886,65.226,635.181,5.764
Soybean,33.299,44.972,57.966,21.768,63.578,596.576,6.714
Potato,114.498,66.375,100.754,19.523,63.919,606.073,5.557
Wheat,85.234,26.793,28.29,18.295,52.415,535.438,6.839
Wheat,70.465,32.59,32.004,17.312,54.425,423.134,6.667
Sugarcane,97.901,48.746,76.194,24.08,80.206,1793.413,6.814
Sugarcane,120.0,30.0,100.0,21.0,70.0,1200.0,6.0
Maize,99.246,52.544,46.45,23.679,65.017,766.282,6.621
Tomato,89.801,66.541,82.757,22.023,64.939,709.999,6.333
Rice,90.878,29.368,54.535,25.186,81.528,2059.674,6.169
Sugarcane,97.331,40.333,74.986,23.59,81.977,1916.111,6.518
Sugarcane,102.124,47.321,76.921,23.422,82.077,1431.728,6.464
Soybean,32.553,48.898,69.513,24.464,62.647,645.88,6.405
Soybean,20.0,60.0,80.0,20.0,55.0,900.0,7.0
Sugarcane,102.423,47.878,89.973,24.414,79.069,1925.894,7.311
Soybean,25.461,50.733,54.733,27.718,59.646,703.836,6.354
Soybean,29.371,49.896,73.511,27.056,65.867,683.23,6.55
Sugarcane,107.092,50.079,71.123,23.287,79.907,2062.578,6.56
Cotton,80.0,60.0,40.0,21.0,45.0,600.0,7.5
Wheat,73.186,27.074,35.354,20.758,54.548,514.176,6.546
Potato,90.446,75.731,106.909,21.253,57.418,626.705,5.718
Soybean,28.915,46.437,50.482,22.215,70.876,509.042,6.699
Tomato,105.706,67.103,78.263,24.58,74.957,592.881,6.419
Soybean,32.961,51.219,60.371,26.875,63.902,628.661,6.729
Tomato,80.0,80.0,60.0,18.0,80.0,750.0,6.0
Sugarcane,80.0,60.0,100.0,27.0,70.0,1200.0,7.5
Tomato,80.0,80.0,60.0,28.0,80.0,750.0,6.0
Cotton,105.991,49.703,31.47,22.804,54.406,1009.729,6.993
Wheat,83.46,35.87,31.741,22.757,58.004,429.736,7.403
Rice,92.943,29.583,69.876,23.761,80.444,1900.288,6.281
Cotton,112.951,47.693,22.148,25.03,60.002,1065.922,7.01
Rice,96.553,32.28,55.906,22.319,84.171,2015.387,5.985
Cotton,111.685,52.643,32.13,22.263,52.358,1038.935,7.5
Rice,99.813,30.752,66.318,23.148,79.57,1738.335,6.096
Cotton,110.264,51.681,37.138,23.644,49.558,1005.318,6.29
Potato,94.874,65.518,95.131,20.404,65.281,702.424,5.871
Cotton,100.76,53.751,34.616,23.589,56.412,904.501,6.461
Rice,102.064,31.965,52.328,24.854,84.851,1983.246,6.071
Cotton,113.313,49.965,32.354,24.52,53.039,1005.916,6.538
Maize,120.0,30.0,60.0,21.0,75.0,1000.0,7.5
Potato,95.952,74.671,107.178,18.2,65.178,608.225,5.711
Wheat,89.607,28.541,27.581,17.313,54.358,508.331,6.542
Sugarcane,80.0,60.0,100.0,21.0,70.0,2250.0,6.0
Tomato,99.136,69.488,77.249,20.825,70.249,591.554,6.33
